Week,Cases,Deaths
1/19/20,1,0
1/26/20,3,0
2/2/20,6,0
2/9/20,7,0
2/16/20,11,0
2/23/20,28,1
3/1/20,110,16
3/8/20,610,40
3/15/20,"10,371",95
3/22/20,"53,517",935
3/29/20,"115,963","4,535"
4/5/20,"182,990","11,159"
4/12/20,"240,542","17,141"
4/19/20,"286,901","21,326"
4/26/20,"318,134","24,035"
5/3/20,"338,519","26,584"
5/10/20,"353,136","27,953"
5/17/20,"364,745","28,900"
5/24/20,"374,471","29,612"
5/31/20,"382,102","30,123"
6/7/20,"387,402","30,565"
6/14/20,"392,037","30,839"
6/21/20,"396,669","31,105"
6/28/20,"401,286","31,860"
7/5/20,"405,724","32,019"
7/12/20,"411,006","32,167"
7/19/20,"453,327","32,295"
7/26/20,"509,507","32,390"
8/2/20,"556,158","32,431"
8/9/20,"621,981","32,414"
8/16/20,"665,325","32,464"
8/23/20,"702,500","32,522"
8/30/20,"737,074","32,579"
9/6/20,"760,582","32,625"
9/13/20,"785,077","32,682"
9/20/20,"809,215","32,713"
9/27/20,"831,495","32,794"
10/4/20,"854,303","32,875"
10/11/20,"876,258","32,959"
10/18/20,"906,657","33,049"
10/25/20,"953,451","33,152"
11/1/20,"1,009,837","33,287"
11/8/20,"1,083,132","33,477"
11/15/20,"1,164,267","33,737"
11/22/20,"1,234,740","34,049"
11/29/20,"1,343,193","34,488"
12/6/20,"1,554,920","35,074"
12/13/20,"1,847,031","35,897"
12/20/20,"2,129,749","36,870"
12/27/20,"2,398,005","37,854"
1/3/21,"2,687,450","39,041"
1/10/21,"2,975,419","40,376"
1/17/21,"3,164,386","41,694"
1/24/21,"3,310,100","42,996"
1/31/21,"3,407,369","44,210"
2/7/21,"3,479,586","46,865"
2/14/21,"3,527,411","49,111"
2/21/21,"3,566,089","51,979"
2/28/21,"3,597,075","54,124"
3/7/21,"3,621,217","56,373"
3/14/21,"3,640,830","57,495"
3/21/21,"3,658,932","58,801"
3/28/21,"3,678,343","59,675"
4/4/21,"3,696,900","60,361"
4/11/21,"3,716,759","60,977"
4/18/21,"3,730,549","61,428"
4/25/21,"3,743,780","61,853"
5/2/21,"3,757,249","62,270"
5/9/21,"3,768,252","62,647"
5/16/21,"3,776,679","62,903"
5/23/21,"3,788,894","63,236"
5/30/21,"3,795,202","63,340"
6/6/21,"3,801,812","63,251"
6/13/21,"3,808,088","63,309"
6/20/21,"3,815,178","63,555"
6/27/21,"3,820,882","63,709"
7/4/21,"3,833,655","63,482"
7/11/21,"3,857,764","63,694"
